Epoch 0, Loss: 0.298436
Epoch 200, Loss: 0.153068
Epoch 400, Loss: 0.129900
Epoch 600, Loss: 0.017471
Epoch 800, Loss: 0.008950
Epoch 1000, Loss: 0.004709
Epoch 1200, Loss: 0.002629
Epoch 1400, Loss: 0.001553
Epoch 1600, Loss: 0.000914
Epoch 1800, Loss: 0.000507
Epoch 2000, Loss: 0.000265
Epoch 2200, Loss: 0.000146
Epoch 2400, Loss: 0.000098
Epoch 2600, Loss: 0.000080
Epoch 2800, Loss: 0.000070
Epoch 3000, Loss: 0.000063
Epoch 3200, Loss: 0.000057
Epoch 3400, Loss: 0.000052
Epoch 3600, Loss: 0.000048
Epoch 3800, Loss: 0.000044
Epoch 4000, Loss: 0.000040
Epoch 4200, Loss: 0.000037
Epoch 4400, Loss: 0.000035
Epoch 4600, Loss: 0.000032
Epoch 4800, Loss: 0.000030
