Epoch 0, Loss: 0.456609
Epoch 200, Loss: 0.149124
Epoch 400, Loss: 0.145187
Epoch 600, Loss: 0.140413
Epoch 800, Loss: 0.095435
Epoch 1000, Loss: 0.017297
Epoch 1200, Loss: 0.008612
Epoch 1400, Loss: 0.005104
Epoch 1600, Loss: 0.003462
Epoch 1800, Loss: 0.002498
Epoch 2000, Loss: 0.001819
Epoch 2200, Loss: 0.001283
Epoch 2400, Loss: 0.000831
Epoch 2600, Loss: 0.000456
Epoch 2800, Loss: 0.000210
Epoch 3000, Loss: 0.000110
Epoch 3200, Loss: 0.000085
Epoch 3400, Loss: 0.000078
Epoch 3600, Loss: 0.000073
Epoch 3800, Loss: 0.000070
Epoch 4000, Loss: 0.000066
Epoch 4200, Loss: 0.000063
Epoch 4400, Loss: 0.000061
Epoch 4600, Loss: 0.000058
Epoch 4800, Loss: 0.000055
